animal,zero_crossings,spectral_centroids,spectral_rolloff,mfccs
dog,5075,156181.40423377568,241710.205078125,141
dog,3235,102937.83366168941,161455.95703125,98
dog,2909,89989.493480195,144724.658203125,81
dog,3915,123625.6063872165,198600.732421875,112
dog,3133,100124.6034442107,162791.015625,86
dog,3795,112809.89522030242,177218.26171875,110
dog,5247,162667.18992409774,263135.7421875,186
dog,6691,186413.56429011698,284485.9130859375,192
dog,4195,122878.90861251636,194294.091796875,137
dog,4179,124115.71893891845,194132.5927734375,126
dog,4489,143787.42380870788,224505.17578125,142
dog,3702,117758.06281907062,180932.7392578125,119
dog,3655,112679.52108923001,177465.8935546875,101
dog,5097,154941.95069153144,255545.2880859375,198
dog,3083,84983.26253527612,116785.3271484375,84
dog,2981,89445.36130223257,139007.5927734375,83
dog,2913,88387.76265297443,136595.8740234375,75
dog,2167,75571.10103478213,118787.9150390625,69
dog,21341,641646.2627507399,1038481.787109375,496
dog,23713,729872.6359033172,1189752.5390625,517
dog,22244,700106.3083303383,1182495.849609375,487
dog,16287,530922.7452973098,874344.9462890625,405
dog,23358,588741.0936189567,828080.859375,316
dog,3520,125390.3154433943,221468.994140625,90
dog,10667,452965.0147361377,791259.08203125,512
dog,21899,725754.5972196495,1211953.271484375,677
dog,8591,325165.406665464,631127.4169921875,265
dog,11487,462337.7545319025,763804.248046875,454
dog,3216,130140.17140904105,261499.21875,80
dog,3376,183586.6865353673,388383.6181640625,130
dog,1922,83294.86548860205,148449.90234375,94
dog,2729,87791.69444077952,148137.6708984375,57
dog,22526,776905.3696127433,1656560.0830078125,442
dog,5900,169478.40405822257,268594.4091796875,107
dog,6685,247412.64213435922,404092.08984375,286
dog,47273,1504522.985628957,3088453.4912109375,733
dog,58972,1540499.1293432363,2686374.755859375,448
dog,1737,92432.46429665427,96134.9853515625,320
dog,6329,353142.8600922927,722643.5302734375,351
dog,2335,103979.39022613126,195284.619140625,91
dog,10642,345153.3432044144,576885.2783203125,210
